Market Cap Rank,S.No.,Name,Ticker,Industry,YFinance Ticker,Screener URL,Market Cap As Of,Market Cap Source,Market Cap Cr
138,183,AU Small Finance,AUBANK,Banks,AUBANK.NS,https://www.screener.in/company/AUBANK/consolidated/,2026-07-16,Saved Screener.in FII scan,77597.0
139,184,L&T Finance Ltd,LTF,Financial Services,LTF.NS,https://www.screener.in/company/LTF/consolidated/,2026-07-16,Saved Screener.in FII scan,76856.0
140,218,Yes Bank,YESBANK,Banks,YESBANK.NS,https://www.screener.in/company/YESBANK/consolidated/,2026-07-16,Saved Screener.in FII scan,76772.0
141,220,PB Fintech.,POLICYBZR,Financial Services,POLICYBZR.NS,https://www.screener.in/company/POLICYBZR/consolidated/,2026-07-16,Saved Screener.in FII scan,76363.0
142,103,Bharti Hexacom,BHARTIHEXA,Telecom,BHARTIHEXA.NS,https://www.screener.in/company/BHARTIHEXA/consolidated/,2026-09-23,Yahoo Finance,76260.0
143,84,Dabur India,DABUR,FMCG,DABUR.NS,https://www.screener.in/company/DABUR/consolidated/,2026-07-16,Saved Screener.in FII scan,75331.0
144,65,ICICI Lombard,ICICIGI,Insurance,ICICIGI.NS,https://www.screener.in/company/ICICIGI/consolidated/,2026-09-23,Yahoo Finance,74972.2
145,131,JSW Infrast,JSWINFRA,Infrastructure,JSWINFRA.NS,https://www.screener.in/company/JSWINFRA/consolidated/,2026-07-16,Saved Screener.in FII scan,74781.0
146,25,Nippon Life Ind.,NAM-INDIA,Financial Services,NAM-INDIA.NS,https://www.screener.in/company/NAM-INDIA/consolidated/,2026-07-16,Saved Screener.in FII scan,74513.0
147,48,NMDC,NMDC,Mining,NMDC.NS,https://www.screener.in/company/NMDC/consolidated/,2026-07-16,Saved Screener.in FII scan,73886.0
148,232,One 97,PAYTM,Financial Services,PAYTM.NS,https://www.screener.in/company/PAYTM/consolidated/,2026-07-16,Saved Screener.in FII scan,73684.0
149,27,Dixon Technolog.,DIXON,Consumer Electronics,DIXON.NS,https://www.screener.in/company/DIXON/consolidated/,2026-07-16,Saved Screener.in FII scan,73349.0
150,23,Multi Comm. Exc.,MCX,Financial Services,MCX.NS,https://www.screener.in/company/MCX/consolidated/,2026-07-16,Saved Screener.in FII scan,73157.0
151,148,Fortis Health.,FORTIS,Healthcare,FORTIS.NS,https://www.screener.in/company/FORTIS/consolidated/,2026-07-16,Saved Screener.in FII scan,72752.0
152,61,Havells India,HAVELLS,Consumer Durables,HAVELLS.NS,https://www.screener.in/company/HAVELLS/consolidated/,2026-07-16,Saved Screener.in FII scan,72421.0
153,222,IndusInd Bank,INDUSINDBK,Banks,INDUSINDBK.NS,https://www.screener.in/company/INDUSINDBK/consolidated/,2026-07-16,Saved Screener.in FII scan,72342.0
154,202,S A I L,SAIL,Metals,SAIL.NS,https://www.screener.in/company/SAIL/consolidated/,2026-07-16,Saved Screener.in FII scan,71685.0
155,114,Torrent Power,TORNTPOWER,Power,TORNTPOWER.NS,https://www.screener.in/company/TORNTPOWER/consolidated/,2026-07-16,Saved Screener.in FII scan,71537.0
156,1,ICICI AMC,ICICIPRULI,Insurance,ICICIPRULI.NS,https://www.screener.in/company/ICICIPRULI/consolidated/,2026-07-16,Saved Screener.in FII scan,70762.0
157,216,Bank of Maha,MAHABANK,Banks,MAHABANK.NS,https://www.screener.in/company/MAHABANK/consolidated/,2026-07-16,Saved Screener.in FII scan,70309.0
158,155,Phoenix Mills,PHOENIXLTD,Real Estate,PHOENIXLTD.NS,https://www.screener.in/company/PHOENIXLTD/consolidated/,2026-07-16,Saved Screener.in FII scan,70013.0
159,172,Bajaj Housing,BAJAJHFL,Financial Services,BAJAJHFL.NS,https://www.screener.in/company/BAJAJHFL/consolidated/,2026-09-23,Yahoo Finance,69560.98
160,217,IDFC First Bank,IDFCFIRSTB,Banks,IDFCFIRSTB.NS,https://www.screener.in/company/IDFCFIRSTB/consolidated/,2026-07-16,Saved Screener.in FII scan,68022.0
161,36,Persistent Systems,PERSISTENT,IT,PERSISTENT.NS,https://www.screener.in/company/PERSISTENT/consolidated/,2026-07-16,Saved Screener.in FII scan,68022.0
162,142,Oil India,OIL,Oil & Gas,OIL.NS,https://www.screener.in/company/OIL/consolidated/,2026-07-16,Saved Screener.in FII scan,67821.0
163,213,Biocon,BIOCON,Pharmaceuticals,BIOCON.NS,https://www.screener.in/company/BIOCON/consolidated/,2026-07-16,Saved Screener.in FII scan,67803.0
